material_id,bulk_modulus
mp-5166,88.276
mp-10289,135.308
mp-1181812,15.864
mp-1190619,19.985
mp-8431,151.502
mp-31209,71.325
mp-11918,112.136
mp-7067,49.416
mp-9570,57.023
mp-7430,39.354
mp-768870,22.378
mp-569298,93.548
mp-4259,73.576
mp-3210,91.812
mp-28006,78.254
mp-4441,79.246
mp-7422,90.672
mp-5486,97.787
mp-568974,63.562
mp-1068300,56.912
mp-5597,93.804
mp-16259,116.99
mp-16260,85.58
mp-19791,103.004
mp-23879,35.543
mp-675701,41.864
mp-1029479,91.659
mp-677072,22.877
mp-9564,50.032
mp-29208,34.698
mp-9565,39.782
mp-10878,32.632
mp-5498,63.206
mp-19824,80.263
mp-6953,87.284
mp-4150,43.915
mp-3142,3.748
mp-4744,84.598
mp-2949,80.39
mp-4064,105.433
mp-6926,110.532
mp-5157,102.347
mp-9125,98.203
mp-7364,93.089
mp-5292,115.307
mp-567769,103.239
mp-9571,57.237
mp-13911,57.614
mp-1029258,122.599
mp-9569,66.211
mp-7429,43.544
mp-12137,69.984
mp-983566,43.252
mp-864991,37.203
mp-867751,39.951
mp-559691,101.962
mp-23915,118.621
mp-10106,37.761
mp-29175,59.67
mp-8895,156.278
mp-569535,31.265
mp-867799,42.058
mp-865167,32.385
mp-569267,28.687
mp-861940,34.346
mp-1029532,74.548
mp-1400520,71.914
mp-12614,24.15
mp-5869,112.399
mp-28770,77.679
mp-30472,53.652
mp-1009755,34.833
mp-29809,77.721
mp-1018656,41.258
mp-1079896,56.915
mp-28553,50.374
mp-510086,44.387
mp-1129406,79.469
mp-867350,30.387
mp-6094,86.507
mp-861645,28.633
mp-2686,33.874
mp-22936,57.888
mp-33588,67.777
mp-1029832,81.221
mp-2923,157.29
mp-1009756,28.076
mp-863744,51.164
mp-9925,34.964
mp-2517,36.705
mp-1009733,36.951
mp-541431,71.587
mp-30312,96.593
mp-4180,96.958
mp-4481,89.257
mp-2379939,87.228
mp-2719342,99.117
mp-22735,29.28
mp-1386610,107.769
mp-866229,36.778
mp-866818,42.206
mp-867849,32.155
mp-17892,93.415
mp-8818,81.76
