num_atoms,volume,density,a,b,c,bulk_modulus
4,104.49738311761591,13.159635092187283,5.28696949,5.28696949,5.28696949,65.405
4,100.92471724241112,12.169529539107424,5.22601734,5.226017340000001,5.22601734,70.36
5,63.7995700747627,8.403352529905955,3.99582001,3.99582001,3.99582001,179.412
4,103.89224333781773,13.19126573352206,5.27674419,5.27674419,5.27674419,59.76
4,114.30932309768878,12.094410582918721,5.44752063,5.44752063,5.44752063,44.138
4,135.23314927827244,8.430613350370281,5.76146224,5.76146224,5.76146224,41.684
4,117.86749596658304,8.80317135079941,5.50346681,5.50346681,5.50346681,36.361
4,114.94744016388428,11.574482310377737,5.45763852,5.45763852,5.45763852,42.483
4,121.63409772732311,6.1249342675364415,5.56147657,5.56147657,5.56147657,27.943
1,17.28523117255594,10.362566667807556,2.90221865,2.9022182599999997,2.90221738,87.692
4,69.45695027579924,10.315417517344496,2.91113179,2.91113116,9.46370874,88.449
2,34.77213080785689,10.302466730258798,2.92229865,2.92229963,4.70166181,90.122
15,315.77405046371274,6.916088848578569,6.81396171,6.81396171,6.81396169,47.099
24,366.5717609472597,8.565435852844688,6.06333258,6.2857069,9.61819304,99.447
12,150.0414213831204,6.103459158146551,3.16808669,4.9152004,9.65844039,47.972
3,44.4813360828449,8.762918245595957,2.99510106,2.99510147,5.72564215,78.406
12,130.65979638469895,5.6130157512833625,5.430180760000001,5.430180760000002,5.43018072,86.697
7,266.73707428966145,5.751902237553431,7.8977488000000005,7.8977488,7.8977488,10.806
7,267.8769872409628,5.727425824246198,6.47862847,6.47862847,6.38218304,12.21
20,325.1760355986749,9.157642983263019,6.22383338,6.22383338,8.39465045,39.693
10,214.46955825441268,7.439905500866018,7.980147,4.198112,6.82305343,52.636
6,107.44222318884995,7.163037735938534,4.75399071,4.75399071,4.75399071,68.793
5,71.74228465641491,8.1972374991628,5.80390462,5.803904620000001,5.80390462,84.084
6,127.2311444799233,6.468288998186341,4.23634542,4.23634542,7.577337,27.991
6,123.28056703624972,6.675568030313791,4.23153932,4.23153932,7.43416843,28.202
6,136.1046679583015,6.046580359156221,4.022096460000001,5.82543372,9.63205741,9.903
14,190.79392961545182,5.427367864310244,5.53940732,6.1732669,6.82981243,48.044
12,241.2785764902418,8.112695172335238,4.44923146,7.07636613,7.66343481,56.451
12,245.03816674335485,7.98822309477381,6.98786558,7.17293,4.88869115,25.252
24,379.0799391961296,6.004620273123877,10.197549,5.006535,7.43944868,31.512
12,276.53771436979576,8.246593160453417,4.50535051,8.35313798,7.95701872,52.909
6,143.33138819194525,7.955319671066769,4.514918959999999,4.51491905,9.11108626,52.857
14,303.3106594642524,5.416914013335597,6.89275673,6.892756679999999,6.89275576,22.91
6,152.227334009939,6.378086702249568,5.36190516,5.36190516,5.36190516,42.873
4,72.13806058074525,9.121116285238786,4.162825,4.162825,4.162825,83.095
28,555.1297730953123,5.220634138964676,8.96751863,8.96751886,8.96751506,64.884
4,73.67147336901013,11.815232860308779,4.19211433,4.19211433,4.19211433,79.37
14,286.19742254703135,3.8544115191592168,6.62176109,7.535915400000001,7.5359147,52.412
16,217.53096805692127,6.390462419400409,6.01414227,6.01414227,6.01414227,76.581
4,66.56072681867046,10.728137792756133,4.94386583,4.94386583,4.94386583,105.215
4,66.73214578132846,12.906863323798722,4.05612842,4.05612842,4.05612842,121.006
4,81.0798581231454,9.121196500994053,3.259365,4.813736,5.167705,75.098
24,572.3472030324275,9.002915208398452,9.05928283,9.05928283,9.05928283,41.009
13,198.65882297931952,8.774490549498331,5.95550495,5.95550435,6.46755388,89.855
12,266.60803791976207,4.792626951734598,6.333508,6.452525960000001,7.487536,40.593
8,143.54729651455168,3.433120377953504,5.87719323,5.87719386,5.87719335,25.367
12,292.6342914355552,4.876732494948396,3.968971,6.083206,12.120339,46.738
4,87.76195082137448,6.446551481238581,3.92537372,3.92537372,6.95631192,61.135
4,70.0176441434365,16.571985874073818,4.12163154,4.12163154,4.12163154,121.457
8,140.6120642250528,16.50400932630959,5.77821787,5.77821787,4.8629987,121.49
8,117.87814173834778,9.489890030499222,4.06996494,5.34289136,5.42083601,91.988
8,115.716180501,9.667192584937192,3.87882231,5.47932747,5.6115855,63.604
20,273.4886771587317,8.569172748420428,7.285926450000001,7.285926450000001,7.28592645,123.896
12,505.9848603466769,5.4114615212673955,8.985457630000003,8.98545763,8.98545763,8.64
8,151.67376614443984,7.638430184947289,3.68483996,3.68483996,12.8986,88.77
4,90.46991538397124,6.992709643171938,4.04974481,4.04974481,6.785261,61.742
10,251.043132241234,5.553841218237184,4.070542,7.37172987,8.704502,36.771
12,297.7371888803807,7.943634572097634,4.17172187,4.17172126,19.75476391,55.442
8,204.2004211964605,7.7215492933578425,7.244695749999999,7.24469575,7.24469575,53.367
4,120.00100244788388,7.915842620010881,4.43763344,4.43763344,7.48834529,47.47
2,48.38393785460103,6.444350914430775,4.090144340000001,4.0901453,4.09014583,38.284
2,60.73660190827747,5.1336931003801505,4.41219972,4.41219972,4.41219972,27.578
10,113.34598200078489,4.918859555604878,6.03125139,6.03125181,6.03125252,64.424
2,42.630581346929766,5.58262272024205,3.92113791,3.92113727,3.92113719,40.56
